,Date_of_PreShoot,Session_Fee,Hair,DOB,zip_code,Sales_total,Favorite,Age_at_Shoot_Date,Age_Range
0,2017-01-05,99,yes,1976-05-05,32208,600,butt,40,36-40
1,2017-11-02,99,yes,1984-10-16,32082,400,"butt, eyes",33,31-35
2,2017-06-29,99,yes,1989-07-22,32080,320,"eyes, hair, legs",27,26-30
3,2017-01-23,99,no,1971-01-23,32208,720,boobs,46,46-50
5,2014-09-14,99,yes,1982-11-03,32257,1320,butt,31,31-35
6,2017-09-05,99,no,1996-01-24,32246,0,eyes,21,18-25
7,2015-08-14,179,no,1977-08-29,32221,240,no preference,37,36-40
9,2015-03-05,99,yes,1979-09-07,32277,720,boobs,35,31-35
10,2015-01-21,99,yes,1988-08-04,32258,680,eyes,26,26-30
12,2014-09-27,99,no,1969-11-10,32216,600,no preference,44,41-45
13,2017-08-24,99,yes,1991-04-09,32068,750,smile,26,26-30
14,2014-04-04,249,no,1975-08-03,32207,600,butt,38,36-40
15,2014-03-04,99,no,1979-03-03,32003,1350,no preference,35,31-35
16,2016-11-01,99,yes,1968-09-13,32246,720,no preference,48,46-50
17,2013-09-05,99,yes,1972-05-10,32223,720,no preference,41,41-45
18,2013-09-05,179,yes,1972-05-10,32223,679,no preference,41,41-45
20,2016-08-24,99,yes,1963-06-17,32250,3000,butt,53,51-55
22,2016-10-12,99,no,1991-10-04,32223,1450,boobs,25,18-25
23,2014-03-06,99,no,1976-07-12,32246,80,no preference,37,36-40
24,2016-05-17,99,no,1987-09-26,32259,680,no preference,28,26-30
26,2016-10-14,99,no,1990-11-02,32256,840,no preference,25,18-25
27,2013-11-08,99,no,1990-09-12,3220?,160,no preference,23,18-25
28,2013-12-06,99,no,1984-07-15,32225,440,no preference,29,26-30
29,2014-02-14,99,no,1992-09-27,32220,1100,no preference,21,18-25
30,2015-10-13,99,yes,1971-10-27,31169,600,no preference,43,41-45
32,2017-03-22,179,no,1983-02-08,32211,750,"legs, pale_skin",34,31-35
33,2017-03-22,179,no,1983-02-08,32211,1200,no preference,34,31-35
35,2014-03-04,99,no,1988-08-26,32256,0,no preference,25,18-25
37,2016-10-14,99,no,1962-06-04,32223,600,no preference,54,51-55
38,2015-02-18,99,no,1994-04-20,32246,1320,no preference,20,18-25
39,2016-04-25,99,no,1988-09-12,32092,600,butt,27,26-30
40,2017-06-29,99,yes,1984-03-20,32226,600,butt,33,31-35
41,2017-10-12,99,no,1985-09-30,32258,1200,boobs,32,31-35
42,2017-02-11,99,no,1989-10-05,32259,600,no preference,27,26-30
43,2014-02-15,99,yes,1985-02-10,32081,1100,no preference,29,26-30
44,2015-06-01,99,no,1989-10-20,32011,760,no preference,25,18-25
45,2017-05-11,99,no,1990-03-08,32224,240,"boobs, shoulder",27,26-30
46,2017-01-23,99,no,1980-06-27,32034,600,"boobs, butt",36,36-40
47,2016-02-20,99,yes,1992-01-10,32256,720,no preference,24,18-25
48,2018-01-08,99,yes,1988-01-12,32065,600,no preference,30,26-30
49,2014-01-15,99,yes,1981-10-04,32092,540,butt,32,31-35
50,2016-01-30,99,no,1979-08-24,32225,240,boobs,36,36-40
51,2016-01-30,99,no,1979-08-24,32225,600,boobs,36,36-40
53,2014-02-18,249,yes,1990-12-22,32257,690,butt,23,18-25
55,2018-01-06,179,yes,1961-05-01,32258,1800,"boobs, legs",56,56-60
56,2016-06-18,99,no,1985-10-12,32257,1200,"butt, hips, legs",30,26-30
58,2017-01-14,99,yes,1984-05-27,32244,600,butt,32,31-35
59,2014-02-08,99,no,1963-05-13,32256,400,no preference,50,46-50
60,2013-10-06,99,no,1974-06-03,32073,620,no preference,39,36-40
61,2015-09-08,99,no,1957-03-03,32086,80,no preference,58,56-60
62,2014-03-06,99,no,1980-12-29,32218,600,no preference,33,31-35
63,2017-12-08,99,no,1991-05-21,31548,600,"arms, muscles",26,26-30
64,2014-05-10,99,no,1988-01-27,32004,1100,"butt, legs",26,26-30
65,2014-02-24,99,no,1991-02-05,32258,1200,butt,23,18-25
66,2014-03-27,99,no,1959-08-03,32082,670,no preference,54,51-55
67,2014-09-11,99,no,1948-10-25,31548,2200,no preference,65,61-65
68,2016-10-29,0,yes,1968-10-27,32219,600,no preference,48,46-50
70,2014-02-26,99,yes,1981-08-07,32082,1100,"butt, eyes",32,31-35
71,2015-03-18,179,no,1992-12-18,31558,2040,"butt, eyes",22,18-25
72,2014-12-15,99,yes,1983-11-06,32224,630,no preference,31,31-35
73,2016-06-20,99,no,1990-08-03,32254,750,no preference,25,18-25
74,2014-10-30,179,no,1991-02-28,32216,750,"eyes, legs",23,18-25
76,2013-12-18,99,no,1974-11-11,32216,1100,no preference,39,36-40
77,2016-11-14,0,no,1988-12-28,32250,160,legs,27,26-30
78,2014-07-25,99,yes,1986-03-05,32246,240,boobs,28,26-30
79,2014-01-22,99,no,1957-11-28,32082,600,"eyes, smile",56,56-60
80,2016-02-27,99,yes,1977-04-27,32218,800,boobs,38,36-40
81,2014-07-10,99,yes,1971-06-08,32224,1200,no preference,43,41-45
83,2016-05-05,99,no,1989-06-14,32244,720,boobs,26,26-30
85,2014-02-10,99,yes,1965-12-17,32073,740,no preference,48,46-50
86,2017-12-01,99,no,1977-12-26,32205,950,no preference,39,36-40
87,2014-10-21,179,no,1990-10-28,32256,1200,no preference,23,18-25
88,2015-05-04,99,no,1987-02-04,32250,720,"butt, eyes",28,26-30
89,2014-09-03,179,no,1987-03-11,32259,1320,no preference,27,26-30
90,2013-12-05,99,yes,1977-09-21,32250,440,no preference,36,36-40
91,2013-09-11,99,no,1982-03-13,32207,727,no preference,31,31-35
92,2014-01-03,99,no,1977-10-20,32092,530,no preference,36,36-40
93,2013-10-04,99,yes,1987-03-27,32225,80,no preference,26,26-30
94,2016-05-01,99,yes,1980-06-25,31558,1060,butt,35,31-35
95,2014-12-09,99,no,1977-12-26,31523,600,butt,36,36-40
96,2014-04-26,99,no,1968-01-27,32312,2730,no preference,46,46-50
98,2014-06-13,99,no,1990-12-25,32250,950,no preference,23,18-25
99,2015-01-16,99,no,1956-12-18,32266,750,no preference,58,56-60
100,2017-09-21,99,no,1963-03-30,32003,320,boobs,54,51-55
101,2014-10-16,99,yes,1986-08-28,32082,600,legs,28,26-30
102,2017-03-03,99,no,1975-12-31,32226,1550,boobs,41,41-45
103,2016-09-12,99,yes,1967-09-10,32038,600,butt,49,46-50
104,2015-08-21,99,no,1982-12-07,37217,600,no preference,32,31-35
105,2014-02-24,99,no,1980-12-30,32034,0,butt,33,31-35
106,2015-03-21,99,no,1983-07-22,32080,90,"boobs, eyes, legs",31,31-35
107,2014-02-08,99,yes,1982-10-04,32033,900,butt,31,31-35
108,2015-02-08,99,no,1985-05-24,31548,750,butt,29,26-30
109,2014-08-24,99,yes,1986-05-01,32256,1320,"butt, hair, legs,",28,26-30
110,2014-02-22,99,no,1982-08-09,32244,1100,no preference,31,31-35
111,2014-10-19,99,no,1974-01-03,32224,600,"back, butt",40,36-40
112,2013-11-04,99,yes,1984-02-14,32205,320,no preference,29,26-30
113,2014-10-12,99,yes,1989-08-15,32216,760,no preference,25,18-25
114,2014-01-04,99,yes,1969-09-27,32259,510,"boobs, curves",44,41-45
115,2017-01-22,99,no,1993-09-13,32227,320,legs,23,18-25
116,2016-07-06,99,yes,1992-01-23,32219,600,eyes,24,18-25
117,2015-10-15,99,no,1985-06-09,32211,1200,no preference,30,26-30
118,2015-10-02,99,no,1971-07-08,32205,750,no preference,44,41-45
120,2015-02-09,99,no,1980-01-09,32246,1200,"back, eyes, neck",35,31-35
122,2016-01-30,99,no,1988-09-09,32211,160,silouette,27,26-30
123,2016-09-26,99,no,1978-08-10,32003,300,"boobs, eyes",38,36-40
124,2017-10-30,99,no,1970-03-04,32224,1620,waist,47,46-50
125,2014-10-01,99,no,1986-01-05,32222,600,butt,28,26-30
126,2017-02-01,99,no,1993-11-05,32218,320,no preference,23,18-25
129,2017-05-28,99,no,1974-06-19,78413,1800,no preference,42,41-45
130,2015-10-01,99,yes,1977-09-05,32040,1320,butt,38,36-40
133,2013-08-02,99,no,1980-10-05,32218,860,no preference,32,31-35
134,2017-06-26,179,yes,1972-07-07,32405,1800,no preference,45,41-45
135,2015-04-12,99,no,1994-06-01,32068,600,butt,20,18-25
136,2014-02-04,99,no,1971-03-02,32258,600,"boobs, eyes",42,41-45
137,2016-01-23,99,yes,1973-08-17,31520,1670,legs,42,41-45
140,2014-04-15,99,no,1991-07-24,32221,1100,butt,22,18-25
141,2015-08-01,179,yes,1981-02-08,32097,2400,boobs,34,31-35
144,2014-02-22,99,yes,1979-12-20,32080,600,no preference,34,31-35
146,2015-09-22,99,no,1984-11-20,32225,1140,boobs,30,26-30
147,2016-11-30,99,no,1991-07-11,32225,600,no preference,25,18-25
148,2014-02-17,99,no,1981-03-05,32211,160,butt,32,31-35
149,2016-07-24,99,no,1989-08-08,32233,720,no preference,26,26-30
150,2014-09-03,99,no,1979-01-11,32210,720,boobs,35,31-35
151,2014-12-04,99,no,1979-08-03,32225,600,butt,35,31-35
152,2015-10-27,99,no,1967-09-27,32137,1100,boobs,48,46-50
153,2016-01-18,99,no,1958-09-18,32205,240,no preference,57,56-60
154,2013-10-11,99,yes,1984-08-11,32065,0,no preference,29,26-30
155,2013-12-07,100,yes,1980-07-31,32223,730,no preference,33,31-35
156,2016-04-14,99,no,1959-11-01,33605,2520,no preference,56,56-60
157,2016-10-14,99,no,1978-09-04,32233,1100,no preference,38,36-40
159,2014-07-09,99,no,1979-10-07,32218,600,boobs,34,31-35
160,2014-04-02,0,yes,1980-12-17,32164,600,butt,33,31-35
162,2013-09-11,99,no,1986-10-08,32246,0,no preference,26,26-30
163,2014-12-28,99,no,1986-03-27,32218,1200,eyes,28,26-30
164,2016-02-20,179,yes,1977-07-20,31522,600,no preference,38,36-40
166,2015-02-07,99,yes,1979-03-08,32092,1100,no preference,35,31-35
167,2013-12-05,99,yes,1978-01-20,32216,600,no preference,35,31-35
168,2017-03-05,99,no,1983-10-18,32073,750,butt,33,31-35
169,2017-02-18,99,no,1967-04-24,32034,600,boobs,49,46-50
170,2014-12-28,99,no,1989-02-28,32211,1200,butt,25,18-25
172,2014-08-07,99,no,1989-04-14,32216,750,no preference,25,18-25
174,2015-02-18,99,yes,1987-10-28,32216,1700,no preference,27,26-30
175,2015-03-24,99,yes,1960-09-03,32205,0,no preference,54,51-55
177,2016-01-25,99,no,1988-02-08,32218,600,butt,27,26-30
178,2014-01-15,99,yes,1991-09-01,32224,360,"butt, eyes",22,18-25
179,2016-04-11,179,no,1974-05-26,32217,900,no preference,41,41-45
181,2015-11-21,99,yes,1985-09-09,32218,600,no preference,30,26-30
182,2015-02-07,99,yes,1989-06-22,32250,720,no preference,25,18-25
183,2015-09-10,99,no,1979-10-26,32244,600,no preference,35,31-35
184,2013-12-07,99,yes,1975-02-14,32256,1050,no preference,38,36-40
185,2015-02-07,179,yes,1987-05-17,32224,1320,boobs,27,26-30
186,2016-02-20,99,no,1962-11-05,32216,720,boobs,53,51-55
187,2015-02-08,179,no,1973-04-16,32164,600,no preference,41,41-45
188,2015-01-03,99,yes,1985-11-25,32218,1200,no preference,29,26-30
189,2013-01-17,99,yes,1977-04-17,32259,615,boobs,35,31-35
190,2015-02-28,99,no,1987-06-25,32216,1360,butt,27,26-30
191,2016-06-04,99,no,1990-09-27,32003,720,butt,25,18-25
192,2015-02-22,99,no,1990-03-22,32257,1100,butt,24,18-25
193,2017-07-21,179,no,1991-08-07,32073,750,no preference,25,18-25
194,2016-03-20,99,no,1985-04-03,32211,680,"eyes, legs",30,26-30
195,2014-09-27,99,no,1980-01-28,32256,750,no preference,34,31-35
196,2015-01-07,99,no,1968-08-24,32246,600,butt,46,46-50
199,2015-12-10,99,no,1986-11-12,32246,720,no preference,29,26-30
200,2013-12-05,99,yes,1987-03-28,32257,440,no preference,26,26-30
201,2014-09-05,99,no,1981-09-17,32205,600,butt,32,31-35
202,2016-05-02,99,no,1995-10-30,32073,1200,no preference,20,18-25
203,2015-08-22,99,no,1990-08-09,32034,0,"butt, curves, face",25,18-25
204,2013-12-15,249,yes,1963-12-26,32003,580,butt,50,46-50
205,2015-12-14,99,no,1964-02-16,32206,200,no preference,51,51-55
208,2014-03-25,99,no,1992-01-22,32246,600,boobs,22,18-25
209,2016-10-28,99,no,1983-08-25,32216,1320,"back, butt, legs",33,31-35
210,2017-05-08,99,yes,1976-08-26,32244,1550,"boobs, legs",40,36-40
211,2016-05-19,89,no,1989-08-07,32003,600,no preference,26,26-30
213,2013-11-09,99,yes,1991-04-29,32246,0,no preference,22,18-25
214,2013-12-04,99,yes,1983-08-27,32092,740,no preference,30,26-30
215,2014-10-06,99,yes,1986-03-27,32257,160,butt,28,26-30
217,2014-12-07,179,no,1988-04-14,32277,720,no preference,26,26-30
219,2013-11-17,99,yes,1980-05-14,32226,440,no preference,33,31-35
220,2014-08-09,99,yes,1979-07-28,32221,600,no preference,35,31-35
221,2016-11-12,99,no,1992-10-23,32207,80,"back, eyes",24,18-25
223,2017-05-08,99,yes,1976-09-21,32258,240,no preference,40,36-40
226,2015-01-20,99,no,1975-06-02,32081,0,"abs, butt",39,36-40
227,2016-06-08,99,no,1975-09-07,32065,520,no preference,40,36-40
228,2014-07-03,99,no,1979-11-19,32218,0,no preference,34,31-35
229,2013-12-04,99,no,1975-11-09,32207,510,no preference,38,36-40
230,2017-07-05,99,yes,1978-03-02,31537,750,eyes,39,36-40
231,2014-07-03,99,no,1984-03-30,32246,1100,no preference,30,26-30
232,2015-06-18,99,no,1991-11-09,32164,600,butt,23,18-25
233,2013-03-17,99,no,1962-04-15,32244,374,no preference,50,46-50
234,2014-05-06,99,no,1962-04-15,32244,240,no preference,52,51-55
235,2014-01-10,99,yes,1976-12-21,32092,530,no preference,37,36-40
236,2014-03-21,99,no,1989-01-20,32256,600,butt,25,18-25
238,2016-10-22,99,yes,1977-11-26,31546,680,no preference,38,36-40
239,2015-02-09,99,no,1969-08-22,32003,720,no preference,45,41-45
240,2015-06-22,99,no,1991-11-08,32216,600,no preference,23,18-25
243,2017-10-23,99,yes,1991-04-05,31569,600,no preference,26,26-30
244,2017-04-23,99,no,1988-12-11,32277,720,butt,28,26-30
245,2017-06-20,99,no,1968-07-14,32210,720,no preference,48,46-50
246,2013-11-05,249,yes,1990-02-06,31548,585,no preference,23,18-25
247,2017-02-18,99,no,1990-04-11,32218,1320,no preference,26,26-30
248,2013-10-20,99,no,1979-06-27,32082,600,no preference,34,31-35
251,2015-07-13,99,no,1979-12-13,32219,720,butt,35,31-35
252,2014-09-16,179,yes,1981-08-17,32097,750,"butt, eyes",33,31-35
253,2014-07-07,99,yes,1984-11-07,32256,600,legs,29,26-30
254,2014-07-14,99,no,1979-06-17,32210,780,no preference,35,31-35
255,2016-06-06,179,no,1973-12-03,31558,600,no preference,42,41-45
256,2016-08-20,99,no,1983-04-20,32244,680,no preference,33,31-35
257,2017-06-24,99,no,1990-07-17,32216,600,butt,26,26-30
258,2015-02-09,99,no,1979-06-06,32084,750,butt,35,31-35
259,2014-09-06,99,no,1992-11-09,32068,355,no preference,21,18-25
260,2017-02-03,99,no,1974-10-01,32258,1320,no preference,42,41-45
261,2014-07-03,99,yes,1988-02-14,32084,600,butt,26,26-30
262,2017-02-08,99,no,1994-02-15,32209,720,no preference,22,18-25
263,2017-04-28,99,yes,1988-02-23,32218,600,hips,29,26-30
267,2013-12-28,99,no,1974-04-17,32065,0,no preference,39,36-40
268,2017-06-24,99,no,1979-09-12,32205,600,no preference,37,36-40
269,2014-03-12,99,no,1976-02-12,32246,1075,"boobs, legs",38,36-40
270,2015-11-14,99,no,1990-07-03,32095,1200,"butt, legs",25,18-25
271,2015-02-28,99,no,1988-06-24,32258,160,butt,26,26-30
272,2016-12-01,99,no,1983-02-21,32257,565,no preference,33,31-35
273,2017-09-17,99,no,1995-09-28,32277,160,legs,21,18-25
274,2013-12-04,99,no,1989-12-15,32164,440,butt,23,18-25
275,2016-08-25,99,no,1983-03-10,32216,750,no preference,33,31-35
276,2014-07-02,99,no,1990-05-06,32250,600,no preference,24,18-25
277,2015-12-05,99,no,1992-04-07,32256,600,no preference,23,18-25
279,2013-10-09,99,no,1980-06-24,32256,600,no preference,33,31-35
281,2014-11-09,99,no,1964-10-05,32137,1300,no preference,50,46-50
283,2017-01-14,99,no,1971-07-05,32256,600,"butt, decoletage",45,41-45
